playlist_name,num_tracks,track_name,track_duration,track_explicit,track_popularity,acousticness,danceability,energy,instrumentalness,key,loudness,mode,tempo,valence,artist1_name,artist2_name,artist3_name,album_name,album_type,album_popularity,album_release_date,genres,pop,indie,rock,edm,hip hop,dance,avg_artist_following,avg_artist_popularity,single
FIFA 16 Soundtrack,40,Trip Switch,181173,0,3,0.0193,0.647,0.826,0.005679999999999999,10,-4.3,0,88.495,0.6970000000000001,Nothing But Thieves,,,Trip Switch,single,1,2015-06-18,"['alternative pop rock', 'modern alternative rock', 'modern rock', 'rock']",1,0,1,0,0,0,577964.0,69.0,1
FIFA 16 Soundtrack,40,Crystals,243533,0,0,0.00187,0.581,0.768,0.00045599999999999997,0,-7.2379999999999995,1,132.19799999999998,0.307,Of Monsters and Men,,,Crystals,single,0,2015-03-16,"['folk-pop', 'indie pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']",1,1,1,0,0,0,2931317.0,72.0,1
FIFA 16 Soundtrack,40,Feeling Electric,221617,0,47,0.00038700000000000003,0.449,0.833,0.000562,0,-4.626,1,97.055,0.637,Parade of Lights,,,Feeling Electric,album,46,2015-06-02,"['hopebeat', 'indie poptimism', 'metropopolis', 'shimmer pop']",1,1,0,0,0,0,27651.0,44.0,0
FIFA 16 Soundtrack,40,Back of the Car,252106,0,46,0.0623,0.602,0.83,5.18e-05,7,-7.195,1,132.115,0.217,RAC,,,Back of the Car,single,40,2015-06-09,"['alternative dance', 'chillwave', 'electropop', 'indie pop', 'indie poptimism', 'indietronica', 'metropopolis', 'shimmer pop', 'vapor soul']",1,1,0,1,0,1,131796.0,63.0,1
FIFA 16 Soundtrack,40,Crystal Express,237826,0,48,0.122,0.757,0.9420000000000001,0.00298,9,-6.212999999999999,1,119.98,0.736,Raury,,,All We Need,album,50,2015-10-16,['psychedelic hip hop'],0,0,0,0,1,0,160030.0,59.0,0
FIFA 16 Soundtrack,40,Pretend,209854,0,0,0.262,0.711,0.838,2.6600000000000003e-05,0,-5.045,1,100.00399999999999,0.278,Seinabo Sey,,,Pretend,single,0,2015-07-17,"['swedish electropop', 'swedish pop', 'swedish soul']",1,0,0,1,0,0,143950.0,62.0,1
FIFA 16 Soundtrack,40,Cannonball,235426,0,46,0.0523,0.5770000000000001,0.7979999999999999,0.0009220000000000001,9,-6.64,1,103.036,0.397,Skylar Grey,,,Cannonball,single,39,2015-09-25,"['piano rock', 'viral pop']",1,0,1,0,0,0,399178.0,72.0,1
FIFA 16 Soundtrack,40,Walls,238226,0,0,0.0625,0.825,0.619,4.44e-05,11,-4.958,0,123.993,0.615,Slaptop,,,Walls,single,0,2015-09-10,[],0,0,0,0,0,0,10547.0,40.0,1
FIFA 16 Soundtrack,40,Lay it Right,206186,0,0,0.0707,0.737,0.6990000000000001,0.0,6,-8.27,0,116.00299999999999,0.449,Speelburg,,,Lay it Right,single,0,2015-05-06,[],0,0,0,0,0,0,6455.0,35.0,1
FIFA 16 Soundtrack,40,One Great Song and I Could Change the World,237840,0,34,0.0119,0.505,0.846,0.00246,10,-5.871,1,98.986,0.691,Swim Deep,,,One Great Song and I Could Change the World,single,27,2015-04-30,"['birmingham indie', 'english indie rock', 'shiver pop']",1,1,1,0,0,0,78463.0,42.0,1
FIFA 16 Soundtrack,40,Smile,197253,0,46,0.0061,0.392,0.638,3.6099999999999997e-05,7,-7.186,1,200.415,0.45899999999999996,The Royal Concept,,,Smile,single,44,2015-08-21,"['indie pop', 'indie poptimism', 'swedish alternative rock', 'swedish indie pop']",1,1,1,0,0,0,102489.0,49.0,1
FIFA 16 Soundtrack,40,Makes a King (feat. Jutty Taylor),273548,0,24,0.02,0.645,0.809,0.0,8,-8.907,1,125.01899999999999,0.43,The Very Best,,,Makes a King,album,23,2015-04-07,['afropop'],1,0,0,0,0,0,15969.0,48.0,0
FIFA 16 Soundtrack,40,Run,169531,0,31,0.0101,0.5660000000000001,0.693,4.36e-06,7,-3.883,1,165.815,0.6459999999999999,Tiggs Da Author,,,Run,single,24,2016-01-12,"['uk hip hop', 'uk pop']",1,0,0,0,1,0,22355.0,58.0,1
